1	t	ფორლანი	["Diego Forlan", "დიეგო ფორლანი", "Diego Forlan", "დიეგო ფორლანი"]
2	f	აიმარი	["Ariel Ortega", "არიელ ორტეგა", "Ariel Ortega", "არიელ ორტეგა"]
3	f	სნეიდერი	["Ronald de Boer", "რონალდ დე ბური", "Ronald de Boer", "რონალდ დე ბური"]
4	f	ბაჯო	["Ronald de Boer", "რონალდ დე ბური", "Ronald de Boer", "რონალდ დე ბური"]
5	f	მენდი	["Adrien Rabiot", "ადრიენ რაბიო", "Adrien Rabiot", "ადრიენ რაბიო"]
6	f	buffon	["Fabio Cannavaro", "Cannavaro", "Fabio Cannavaro", "ფაბიო კანავარო"]
7	f	ვარდი	["Theodoros Zagorakis", "Zagorakis", "Theo Zagorakis", "თეოდოროს ზაგორაკისი", "Theodoros Zagorakis", "თეოდოროს ზაგორაკისი"]
19	f	კამბიასო	["Walter Samuel", "ვალტერ სამუელი", "Walter Samuel", "ვალტერ სამუელი"]
24	f	Shearer	["Peter Beardsley", "Beardsley", "პიტერ ბირდსლი", "Peter Beardsley", "პიტერ ბირდსლი"]
28	f	ჩელსი	["Didier Drogba", "Drogba", "დიდიე დროგბა", "Didier Drogba", "დიდიე დროგბა"]
12384	f	ნეიმარი	["Nene", "ნენე"]
8	t	ვიეირა	["Patrick Vieira", "პატრიკ ვიეირა", "Patrick Vieira", "პატრიკ ვიეირა"]
9	f	კანტონა	["Patrick Vieira", "პატრიკ ვიეირა", "Patrick Vieira", "პატრიკ ვიეირა"]
10	t	ანრი	["Thierry Henry", "Henry", "Thierry Henry", "ტიერი ანრი"]
11	f	mbape	["Thierry Henry", "Henry", "Thierry Henry", "ტიერი ანრი"]
12	f	Donaruma	["Gianluigi Buffon", "Buffon", "Gigi Buffon", "Gianluigi Buffon", "ჯანლუიჯი ბუფონი"]
12894	f	ზიკო	["Rai", "რაი"]
13	t	კაზემირო	["Casemiro", "Carlos Henrique Casimiro", "კაზემირო", "Casemiro", "კაზემირო"]
14	f	Neuer	["Lev Yashin", "Yashin", "The Black Spider", "ლევ იაშინი", "Lev Yashin", "ლევ იაშინი"]
15	f	იბრა	["Zlatan Ibrahimovic", "ზლატან იბრაჰიმოვიჩი", "Zlatan Ibrahimovic", "ზლატან იბრაჰიმოვიჩი"]
20	f	კლიში	["Laurent Koscielny", "ლორან კოსელნი", "Laurent Koscielny", "ლორან კოსელნი"]
85	f	ლაუდრუპი	["Predrag Mijatović", "Predrag Mijatovic", "Mijatović", "Mijatovic", "Predrag Mijatović", "პრედრაგ მიატოვიჩი"]
16	f	ძოლა	["David Ginola", "Ginola", "დავიდ ჟინოლა", "David Ginola", "დავიდ ჟინოლა"]
